poll_id,legacy_field,historical_rows,historical_observed,canonical_definition,status,evidence,blocker
uk-eu-1995,ukeu.eurelat1g,238,238,ukeu.eurelat1g@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,ukeu.euscope1g,238,237,ukeu.euscope1g@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,ukeu.commies1r,238,238,ukeu.commies1r@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,ukeu.favref1r,238,238,ukeu.favref1r@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,ukeu.eurelat2g,238,224,ukeu.eurelat2g@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,ukeu.euscope2g,238,238,ukeu.euscope2g@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,ukeu.commies2r,238,221,ukeu.commies2r@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,ukeu.favref2r,238,224,ukeu.favref2r@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,bettered,238,230,bettered@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-health-1998,readbrief,230,0,readbrief@historical-v1,implemented,uk_health.R lines 126-127 and 234-235,
uk-health-1998,t1know,230,230,t1know@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,t1knowr,230,230,t1know@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,t1knowcor,230,230,t1knowcor@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,t2know,230,230,t2know@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ppage,230,230,ppage@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,educ4,230,228,educ4@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,minority,230,230,minority@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,hhincome,230,206,hhincome@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,female,230,230,female@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,attextreme,230,230,attextreme@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,highinc,230,206,highinc@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,t1polint,230,0,t1polint@historical-v1,implemented,uk_health.R lines 126-127 and 234-235,
uk-health-1998,t1knowcor2,230,0,t1knowcor2@historical-v1,implemented,uk_health.R lines 126-127 and 234-235,
uk-health-1998,t12know,230,0,t12know@historical-v1,implemented,uk_health.R lines 126-127 and 234-235,
uk-health-1998,t12knowcor,230,0,t12knowcor@historical-v1,implemented,uk_health.R lines 126-127 and 234-235,
uk-health-1998,attextreme2,230,0,attextreme2@historical-v1,implemented,uk_health.R lines 126-127 and 234-235,
uk-health-1998,t1knowrcor,230,230,t1knowcor@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,t2knowr,230,230,t2know@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,knowgain,230,230,knowgain@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,knowgain2,230,230,knowgain2@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,logpk,230,230,logpk@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,tobitpk,230,230,tobitpk@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,knowgainr,230,230,knowgain@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,knowgainr2,230,230,knowgain2@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,educ3,230,228,educ3@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t1payhlt,230,204,ukhealth.t1payhlt@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t1poora,230,223,ukhealth.t1poora@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t1option,230,218,ukhealth.t1option@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t1hlthfu,230,225,ukhealth.t1hlthfu@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t1ctexpt,230,225,ukhealth.t1ctexpt@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t1pritre,230,224,ukhealth.t1pritre@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t1severi,230,204,ukhealth.t1severi@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t1preven,230,212,ukhealth.t1preven@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t1dispub,230,215,ukhealth.t1dispub@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t1avgdis,230,216,ukhealth.t1avgdis@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t1moresa,230,223,ukhealth.t1moresa@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t2payhlt,230,217,ukhealth.t2payhlt@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t2poora,230,218,ukhealth.t2poora@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t2option,230,223,ukhealth.t2option@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t2hlthfu,230,222,ukhealth.t2hlthfu@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t2ctexpt,230,221,ukhealth.t2ctexpt@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t2pritre,230,217,ukhealth.t2pritre@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t2severi,230,204,ukhealth.t2severi@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t2preven,230,214,ukhealth.t2preven@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t2dispub,230,200,ukhealth.t2dispub@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t2avgdis,230,218,ukhealth.t2avgdis@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,ukhealth.t2moresa,230,217,ukhealth.t2moresa@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-health-1998,bettered,230,228,bettered@historical-v1,implemented,R/respondent_health.R; docs/poll-issues.md UKH-01-12,
uk-monarchy-1996,readbrief,258,0,read_briefing@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,t1know,258,258,knowledge_t1@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,t1knowr,258,258,knowledge_t1@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,t1knowcor,258,258,knowledge_joint@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,t2know,258,258,knowledge_t2@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,ppage,258,258,age@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,educ4,258,258,education_four@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,minority,258,258,minority@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,hhincome,258,0,household_income@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,female,258,258,female@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,attextreme,258,258,attitude_extremity@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,highinc,258,0,high_income@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,t1polint,258,257,political_interest_t1@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,t1knowcor2,258,0,knowledge_joint_midterm@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,t12know,258,0,knowledge_midterm@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,t12knowcor,258,0,knowledge_midterm_joint@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,attextreme2,258,0,attitude_extremity_midterm@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,t1knowrcor,258,258,knowledge_joint@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,t2knowr,258,258,knowledge_t2@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,knowgain,258,258,knowledge_gain@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,knowgain2,258,258,knowledge_gain_joint@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,logpk,258,258,log_knowledge_joint@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,tobitpk,258,258,high_knowledge_joint@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,knowgainr,258,258,knowledge_gain@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,knowgainr2,258,258,knowledge_gain_joint@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,educ3,258,258,education_three@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,ukmonarchy.t1supmon,258,256,monarchy_support_t1@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,ukmonarchy.t2supmon,258,257,monarchy_support_t2@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,ukmonarchy.t1mpop,258,258,monarchy_people_t1@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,ukmonarchy.t2mpop,258,258,monarchy_people_t2@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,ukmonarchy.t1pwrm,258,257,monarchy_power_t1@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,ukmonarchy.t2pwrm,258,251,monarchy_power_t2@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,ukmonarchy.t1reflor,258,249,lords_reform_t1@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,ukmonarchy.t2reflor,258,251,lords_reform_t2@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-monarchy-1996,bettered,258,258,higher_education@historical-v1,implemented,R/respondent_monarchy.R; docs/poll-issues.md UKM-01-04,
uk-general-election-1997,readbrief,275,0,read_briefing@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,t1know,275,275,knowledge_t1@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,t1knowr,275,275,knowledge_t1@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,t1knowcor,275,275,knowledge_joint@ukge-03-v2,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,t2know,275,275,knowledge_t2@ukge-03-v2,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,ppage,275,274,age@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,educ4,275,274,education_four@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,minority,275,273,minority@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,hhincome,275,251,household_income@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,female,275,275,female@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,attextreme,275,274,attitude_extremity@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,highinc,275,251,high_income@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,t1polint,275,272,political_interest_t1@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,t1knowcor2,275,0,knowledge_joint_midterm@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,t12know,275,0,knowledge_midterm@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,t12knowcor,275,0,knowledge_midterm_joint@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,attextreme2,275,0,attitude_extremity_midterm@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,t1knowrcor,275,275,knowledge_joint@ukge-03-v2,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,t2knowr,275,275,knowledge_t2@ukge-03-v2,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,knowgain,275,275,knowledge_gain@ukge-03-v2,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,knowgain2,275,275,knowledge_gain_joint@ukge-03-v2,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,logpk,275,275,log_knowledge_joint@ukge-03-v2,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,tobitpk,275,275,high_knowledge_joint@ukge-03-v2,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,knowgainr,275,275,knowledge_gain@ukge-03-v2,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,knowgainr2,275,275,knowledge_gain_joint@ukge-03-v2,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,educ3,275,274,education_three@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,ukbge.t1redist,275,268,redistribution_t1@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,ukbge.t1tax,275,271,tax_t1@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,ukbge.t1wage,275,269,minimum_wage_t1@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,ukbge.t1eu,275,250,european_union_t1@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,ukbge.t2redist,275,267,redistribution_t2@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,ukbge.t2tax,275,259,tax_t2@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,ukbge.t2wage,275,259,minimum_wage_t2@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,ukbge.t2eu,275,244,european_union_t2@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
uk-general-election-1997,bettered,275,274,higher_education@historical-v1,implemented,R/respondent_election.R; docs/poll-issues.md UKGE-01-04,
australia-republic-1999,readbrief,347,0,read_briefing@historical-v1,implemented,vault/cdd/scripts/aus_republic.R; data/australia-republic-1999/variables.csv; data/australia-republic-1999/papers/adp5.doc; data/shared/codebooks/attitude_indices/past_versions/appendix-attitude-indices-6-07-15-rcl.docx,
australia-republic-1999,t1know,347,347,knowledge_t1@historical-v1,implemented,vault/cdd/scripts/aus_republic.R; data/australia-republic-1999/variables.csv; data/australia-republic-1999/papers/adp5.doc; data/shared/codebooks/attitude_indices/past_versions/appendix-attitude-indices-6-07-15-rcl.docx,
australia-republic-1999,t1knowr,347,0,issue_knowledge@historical-v1,implemented,vault/cdd/scripts/aus_republic.R; data/australia-republic-1999/variables.csv; data/australia-republic-1999/papers/adp5.doc; data/shared/codebooks/attitude_indices/past_versions/appendix-attitude-indices-6-07-15-rcl.docx,
australia-republic-1999,t1knowcor,347,347,knowledge_joint@historical-v1,implemented,vault/cdd/scripts/aus_republic.R; data/australia-republic-1999/variables.csv; data/australia-republic-1999/papers/adp5.doc; data/shared/codebooks/attitude_indices/past_versions/appendix-attitude-indices-6-07-15-rcl.docx,
australia-republic-1999,t2know,347,347,knowledge_t2@historical-v1,implemented,vault/cdd/scripts/aus_republic.R; data/australia-republic-1999/variables.csv; data/australia-republic-1999/papers/adp5.doc; data/shared/codebooks/attitude_indices/past_versions/appendix-attitude-indices-6-07-15-rcl.docx,
australia-republic-1999,ppage,347,347,age@historical-v1,implemented,vault/cdd/scripts/aus_republic.R; data/australia-republic-1999/variables.csv; data/australia-republic-1999/papers/adp5.doc; data/shared/codebooks/attitude_indices/past_versions/appendix-attitude-indices-6-07-15-rcl.docx,
australia-republic-1999,educ4,347,347,education_four@historical-v1,implemented,vault/cdd/scripts/aus_republic.R; data/australia-republic-1999/variables.csv; data/australia-republic-1999/papers/adp5.doc; data/shared/codebooks/attitude_indices/past_versions/appendix-attitude-indices-6-07-15-rcl.docx,
australia-republic-1999,minority,347,347,minority@historical-v1,implemented,vault/cdd/scripts/aus_republic.R; data/australia-republic-1999/variables.csv; data/australia-republic-1999/papers/adp5.doc; data/shared/codebooks/attitude_indices/past_versions/appendix-attitude-indices-6-07-15-rcl.docx,
australia-republic-1999,hhincome,347,314,household_income@historical-v1,implemented,vault/cdd/scripts/aus_republic.R; data/australia-republic-1999/variables.csv; data/australia-republic-1999/papers/adp5.doc; data/shared/codebooks/attitude_indices/past_versions/appendix-attitude-indices-6-07-15-rcl.docx,
australia-republic-1999,female,347,347,female@historical-v1,implemented,vault/cdd/scripts/aus_republic.R; data/australia-republic-1999/variables.csv; data/australia-republic-1999/papers/adp5.doc; data/shared/codebooks/attitude_indices/past_versions/appendix-attitude-indices-6-07-15-rcl.docx,
australia-republic-1999,attextreme,347,346,attitude_extremity@historical-v1,implemented,vault/cdd/scripts/aus_republic.R; data/australia-republic-1999/variables.csv; data/australia-republic-1999/papers/adp5.doc; data/shared/codebooks/attitude_indices/past_versions/appendix-attitude-indices-6-07-15-rcl.docx,
australia-republic-1999,highinc,347,314,high_income@historical-v1,implemented,vault/cdd/scripts/aus_republic.R; data/australia-republic-1999/variables.csv; data/australia-republic-1999/papers/adp5.doc; data/shared/codebooks/attitude_indices/past_versions/appendix-attitude-indices-6-07-15-rcl.docx,
australia-republic-1999,t1polint,347,347,political_interest_t1@historical-v1,implemented,vault/cdd/scripts/aus_republic.R; data/australia-republic-1999/variables.csv; data/australia-republic-1999/papers/adp5.doc; data/shared/codebooks/attitude_indices/past_versions/appendix-attitude-indices-6-07-15-rcl.docx,
australia-republic-1999,t1knowcor2,347,0,knowledge_joint_midterm@historical-v1,implemented,vault/cdd/scripts/aus_republic.R; data/australia-republic-1999/variables.csv; data/australia-republic-1999/papers/adp5.doc; data/shared/codebooks/attitude_indices/past_versions/appendix-attitude-indices-6-07-15-rcl.docx,
australia-republic-1999,t12know,347,0,knowledge_midterm@historical-v1,implemented,vault/cdd/scripts/aus_republic.R; data/australia-republic-1999/variables.csv; data/australia-republic-1999/papers/adp5.doc; data/shared/codebooks/attitude_indices/past_versions/appendix-attitude-indices-6-07-15-rcl.docx,
australia-republic-1999,t12knowcor,347,0,knowledge_midterm_joint@historical-v1,implemented,vault/cdd/scripts/aus_republic.R; data/australia-republic-1999/variables.csv; data/australia-republic-1999/papers/adp5.doc; data/shared/codebooks/attitude_indices/past_versions/appendix-attitude-indices-6-07-15-rcl.docx,
australia-republic-1999,attextreme2,347,0,attitude_extremity_midterm@historical-v1,implemented,vault/cdd/scripts/aus_republic.R; data/australia-republic-1999/variables.csv; data/australia-republic-1999/papers/adp5.doc; data/shared/codebooks/attitude_indices/past_versions/appendix-attitude-indices-6-07-15-rcl.docx,
